Supplier,Delhi,Mumbai,Jaipur,Hyderabad
Supplier 1,4.57%,4.18%,7.90%,8.54%
supplier 2,2.60%,1.88%,8.99%,9.23%
supplier 3,2.26%,7.48%,6.71%,7.84%
supplier 4,6.47%,6.70%,7.94%,9.89%
supplier 5,6.82%,1.17%,8.54%,5.67%
supplier 6,4.68%,6.44%,6.52%,3.03%
supplier 7,7.43%,3.52%,7.12%,8.47%
supplier 8,4.49%,2.42%,7.79%,9.40%
supplier 9,5.72%,6.39%,8.99%,8.67%
supplier 10,5.64%,7.79%,7.57%,8.50%
supplier 11,6.27%,5.94%,9.21%,6.40%
supplier 12,4.88%,9.07%,7.10%,8.80%
supplier 13,5.15%,2.44%,9.05%,5.76%
supplier 14,8.52%,2.42%,9.50%,11.49%
supplier 15,11.96%,6.17%,4.54%,10.49%
supplier 16,5.26%,0.29%,7.60%,6.02%
supplier 17,8.13%,8.50%,8.95%,4.64%
supplier 18,5.93%,5.57%,9.79%,8.14%
supplier 19,6.05%,1.14%,4.92%,8.71%
supplier 20,6.67%,3.67%,8.35%,12.31%
supplier 21,5.34%,5.82%,6.99%,8.85%
supplier 22,6.41%,4.60%,9.87%,1.37%
supplier 23,5.44%,3.09%,3.40%,6.38%
supplier 24,6.11%,3.68%,8.00%,7.18%
supplier 25,6.35%,2.43%,7.36%,7.34%
supplier 26,5.95%,5.10%,9.40%,7.81%
supplier 27,10.70%,9.85%,8.75%,4.09%
supplier 28,5.23%,1.57%,5.68%,10.90%
supplier 29,9.02%,3.47%,8.12%,5.86%
supplier 30,9.67%,3.86%,6.22%,10.05%
